Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,29.665,37.986,34.718,32.249,49.387,22.258,36.4,36.429,41.06,66.2,9.077,31.63,52.507,68.02,28.288,32.474,46.854,33.584,12.559,23.107,31.573,34.367,42.643,25.401,31.819,19.217,47.51,36.823,19.332,49.15
1,30.508,0,18.195,15.616,22.948,53.374,10.927,29.723,36.946,70.915,67.812,34.393,2.187,54.101,69.632,9.317,14.07,42.106,18.865,21.924,9.91,16.758,21.618,44.255,14.084,3.091,46.862,33.36,26.628,20.398,33.75
2,42.063,18.4,0,6.322,19.737,66.287,18.405,22.965,30.188,79.615,73.501,42.427,16.851,45.611,75.321,12.138,11.205,35.348,16.596,33.479,17.573,38.762,38.553,52.955,21.948,17.397,59.337,22.516,19.87,29.098,39.352
3,33.159,13.759,5.691,0,14.978,61.887,13.764,18.206,25.429,73.391,68.742,36.203,12.573,40.852,70.562,7.497,6.445,30.589,9.928,24.575,12.932,27.002,32.322,46.731,15.724,11.413,53.113,20.868,15.111,22.874,34.398
4,36.824,27.661,22.895,19.626,0,71.289,20.254,4.641,6.607,62.566,59.464,26.044,29.626,33.711,61.284,16.465,9.611,23.448,4.63,28.067,21.103,33.228,39.533,35.907,12.511,20.604,42.288,18.484,7.797,14.92,51.636
5,49.495,52.069,66.078,61.706,71.421,0,50.688,75.572,80.18,91.609,109.969,54.399,54.034,96.258,111.789,58.722,66.901,90.605,72.756,49.482,52.067,40.982,41.899,86.412,59.741,54.223,65.849,84.689,75.995,62.555,32.505
6,21.948,8.281,18.627,15.359,20.704,53.395,0,24.855,29.463,62.355,59.252,25.833,10.246,45.541,61.072,6.498,11.155,39.888,15.443,13.364,1.604,17.038,21.639,35.695,9.024,9.368,38.302,30.886,25.278,11.838,42.73
7,41.059,31.896,24.161,20.892,6.054,75.524,24.489,0,5.257,66.801,54.754,30.279,30.536,28.431,56.574,24.05,14.479,23.752,7.78,32.302,25.338,37.463,43.768,32.493,16.746,29.376,46.523,11.19,5.453,19.155,52.902
8,40.92,36.217,26.5,23.231,7.815,79.845,28.81,4.952,0,66.709,50.16,31.746,38.182,23.837,51.98,26.389,15.998,16.923,9.541,36.623,29.659,41.784,48.089,27.899,26.034,31.715,44.969,19.887,9.535,23.476,55.241
9,44.174,71.738,79.787,76.518,64.23,88.59,64.331,68.381,68.551,0,67.994,45.503,73.703,63.679,59.968,70.361,71.149,76.348,65.565,51.762,65.18,76.362,76.153,55.398,61.555,73.892,35.59,79.491,68.804,54.121,88.353
10,72.849,68.056,74.907,71.638,54.759,111.684,60.649,54.848,49.914,68.5,0,63.675,70.021,31.53,5.392,66.679,65.598,46.327,61.621,68.462,61.498,73.623,79.928,30.93,57.873,70.21,66.903,62.505,59.268,55.315,101.019
11,9.446,31.974,39.452,36.183,26.402,53.81,24.567,30.553,33.316,44.428,63.087,0,33.939,49.394,64.907,30.597,30.814,43.741,27.737,11.683,25.416,29.07,28.861,39.53,17.275,34.128,24.15,41.663,30.976,11.276,53.573
12,32.747,3.776,16.516,13.937,20.824,55.354,12.98,25.257,32.48,73.154,70.051,36.632,0,47.903,71.871,9.182,11.436,37.64,16.741,24.163,11.809,19.888,23.598,46.494,16.8,2.092,49.101,31.681,22.162,22.637,30.926
13,57.666,52.963,46.133,42.864,31.716,96.591,45.556,33.589,22.901,64.218,32.47,48.492,52.508,0,34.29,46.022,39.741,15.85,34.55,53.369,46.405,58.53,64.835,25.06,42.78,51.348,58.171,34.868,30.494,40.222,74.874
14,73.606,68.813,75.664,72.395,55.516,112.441,61.406,55.605,50.671,58.23,12.298,64.432,70.778,32.287,0,67.436,66.355,47.084,62.378,69.219,62.255,74.38,80.685,31.687,58.63,70.967,67.66,63.262,60.025,56.072,101.776
15,29.235,9.634,10.449,7.199,14.596,60.192,9.639,19.519,26.742,69.558,70.055,34.583,9.747,42.165,71.875,0,5.208,31.902,10.513,20.651,8.807,23.116,28.436,42.898,11.426,8.587,45.589,25.614,16.424,15.704,39.19
16,29.982,13.484,11.384,8.111,10.475,61.489,17.211,13.447,15.413,67.068,63.966,30.546,13.101,38.897,65.786,7.802,0,28.634,6.392,21.398,18.06,26.559,28.87,40.409,12.173,11.941,46.79,23.064,12.048,20.643,40.125
17,52.324,42.03,35.879,32.61,24.063,91.249,40.214,23.335,16.19,78.075,45.832,43.15,42.254,15.727,47.652,35.768,29.487,0,24.296,48.027,41.063,53.188,59.493,33.08,37.438,41.094,55.706,20.434,20.24,34.88,64.62
18,37.637,18.343,16.319,12.372,4.69,72.102,21.067,7.662,9.628,63.379,63.309,26.857,20.217,35.419,65.129,16.208,6.125,25.156,0,28.88,21.916,34.041,40.346,36.72,13.324,17.118,43.101,19.653,7.722,15.733,45.06
19,11.659,20.291,28.612,25.344,27.707,52.946,12.884,31.858,36.466,49.856,66.255,11.502,22.256,52.544,68.075,18.914,23.385,46.891,29.042,0,13.733,21.128,20.919,42.698,16.027,22.445,28.013,43.063,32.281,18.841,46.027
20,21.721,9.54,17.045,14.035,20.477,53.168,2.209,24.628,29.236,62.128,59.025,25.606,11.505,45.314,60.845,7.989,16.155,39.661,21.812,13.137,0,16.811,21.412,35.468,8.797,9.864,38.075,35.833,25.051,11.611,42.503
21,25.978,13.854,33.854,25.721,35.08,40.259,13.642,39.231,43.839,68.832,73.628,24.664,15.819,59.917,75.448,19.675,30.512,54.264,36.415,15.614,13.02,0,4.223,50.071,23.4,16.008,48.554,50.19,39.654,26.214,40.002
22,30.153,15.484,35.484,27.351,36.71,41.889,15.272,40.861,45.469,72.267,75.258,35.057,17.449,61.547,77.078,21.305,32.142,55.894,38.045,17.244,14.65,2.915,0,51.701,25.03,17.638,46.507,51.82,41.284,27.844,39.999
23,49.528,44.735,53.423,50.154,31.438,88.363,37.328,32.887,29.304,54.992,29.413,40.354,46.7,25.744,31.233,43.358,42.277,30.959,38.3,45.141,38.177,50.302,56.607,0,34.552,46.889,35.193,41.368,38.131,31.994,77.698
24,25.054,10.931,17.605,14.337,15.156,59.692,8.657,23.913,31.136,64.248,61.145,19.231,12.896,47.434,62.965,9.18,9.742,36.296,14.421,16.47,9.506,21.631,27.936,37.588,0,12.018,43.97,29.42,20.818,8.528,49.027
25,32.032,2.41,17.311,14.732,23.012,54.6,11.594,29.787,37.01,72.439,69.336,35.917,2.092,52.433,71.156,9.984,12.232,42.17,18.929,23.448,10.856,18.282,22.844,45.779,14.751,0,48.386,32.476,26.692,21.922,35.162
26,21.223,45.917,57.686,54.417,42.129,65.639,38.51,46.28,45.518,34.667,67.766,23.402,47.882,57.115,69.586,44.54,49.048,52.34,43.464,28.811,39.359,54.261,54.052,34.96,39.454,48.071,0,58.907,46.703,32.02,65.402
27,53.963,34.276,21.326,22.222,20.932,84.987,36.457,10.711,17.829,79.752,61.142,44.789,32.727,34.819,62.962,28.014,24.578,19.175,21.165,44.27,37.306,49.431,56.04,39.44,32.739,33.273,58.012,0,9.869,32.193,58.052
28,41.095,26.962,20.811,14.207,7.93,75.56,24.525,5.669,15.242,66.837,58.555,30.315,27.186,30.665,60.375,20.7,11.649,20.402,8.163,32.338,25.374,37.499,43.804,36.853,16.782,26.026,46.559,10.257,0,19.191,49.552
29,28.235,19.245,27.933,24.664,14.668,62.873,11.838,18.819,23.427,52.155,53.216,12.472,21.21,39.505,55.036,17.868,19.295,33.852,16.003,19.651,12.687,24.812,31.117,29.659,7.669,21.399,31.877,29.929,19.242,0,52.208
