origin,,destination,,"[0:00, 1:00)","[1:00, 2:00)","[2:00, 3:00)","[3:00, 4:00)","[4:00, 5:00)","[5:00, 6:00)","[6:00, 7:00)","[7:00, 8:00)","[8:00, 9:00)","[9:00, 10:00)","[10:00, 11:00)","[11:00, 12:00)","[12:00, 13:00)","[13:00, 14:00)","[14:00, 15:00)","[15:00, 16:00)","[16:00, 17:00)","[17:00, 18:00)","[18:00, 19:00)","[19:00, 20:00)","[20:00, 21:00)","[21:00, 22:00)","[22:00, 23:00)","[23:00, 24:00)"
113.5258102,23.13602638,113.5258102,23.13602638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.5258102,23.13602638,113.3136749,23.10290527,46.79000092,47.97000122,47.72999954,46.11999893,44.49000168,41.22000122,45.52000046,39.09999847,28.95999908,32.11000061,34.59000015,41.77999878,44.13999939,40.75999832,36.50999832,35.18999863,33.59000015,27.17000008,26.86000061,37.49000168,38.93999863,37.66999817,39.90999985,45.38999939
113.5258102,23.13602638,113.2140961,23.15157127,50.68000031,51.77000046,51.47000122,50.13000107,49,44.79999924,49.70999908,42.95999908,32.68999863,35.93999863,38.68000031,42.95999908,46.84000015,43.40999985,36.77999878,34.52000046,32.75,28.57999992,25.10000038,36.15000153,38.70999908,38.56999969,42.02999878,48.63999939
113.5258102,23.13602638,113.2475586,23.14447784,46.11999893,46.86000061,46.77000046,44.47999954,43.59000015,41.20999908,42.81999969,37.41999817,29.78000069,32.47999954,34.59000015,38.36000061,40.27000046,36.97000122,32.22999954,31.70999908,29.94000053,25.04000092,23.27000046,33.86000061,35.83000183,35.25999832,39.33000183,43.59999847
113.5258102,23.13602638,113.3003387,23.24317741,51.41999817,51.33000183,51.65000153,50.93000031,51.40999985,49.91999817,48.70000076,44.24000168,41.70999908,44.70999908,44.68999863,46.65999985,48.40000153,47.77999878,44.18000031,42.83000183,40.15999985,35.18000031,31.55999947,41.45000076,45.66999817,47.81000137,47.15999985,51.83000183
113.5258102,23.13602638,113.5275116,22.7896862,53.52000046,54.11000061,54.27000046,52.52000046,52.11000061,52.47999954,51.61999893,49.63000107,45.34000015,46.33000183,47.75999832,45.54999924,51.83000183,49.00999832,48.75,45.29999924,45.68999863,42.93000031,42.29000092,49.13000107,50.75999832,51.70999908,52.56999969,53.40999985
113.5258102,23.13602638,113.3509979,23.14332008,46.09999847,47.59000015,47.02999878,45.40000153,43.61999893,39.79000092,46.79999924,38.81999969,28.38999939,33.5,35.77000046,41.06999969,45.5,41.45999908,37.31999969,35.29000092,33.58000183,27.97999954,27.26000023,36.83000183,40.75999832,37.81000137,40.04000092,44.31000137
113.5258102,23.13602638,113.2893066,23.26502991,47.22000122,48.31000137,48.52000046,47.04999924,47.70999908,46.04000092,44.63999939,39.86999893,37.58000183,38.59000015,38.65000153,41.84000015,42.47999954,40.38999939,35.61999893,32.36000061,32.50999832,30.81999969,29.65999985,34.08000183,39.43999863,40.40999985,41.75999832,45.84999847
113.5258102,23.13602638,113.3101501,23.28806305,53.11999893,55.33000183,50.86000061,54.70999908,56.06999969,53.99000168,52.27999878,46.97000122,41.95000076,42.38000107,38.95999908,42.95999908,50.45999908,48.41999817,44.43000031,39.56999969,40.36999893,36.86000061,33.24000168,42.24000168,47.81000137,51.22999954,50.88000107,53.95999908
113.5258102,23.13602638,113.8286133,23.24810982,46.68999863,50.08000183,50.06000137,47.54000092,46.86999893,44.52000046,47,43.84000015,43.56000137,43.61000061,46.56000137,44.33000183,47.81000137,48.54999924,42.29000092,41.13999939,41.52000046,40.90000153,37.84000015,45.15999985,46.52000046,49.52999878,49.20999908,50.04999924
113.5258102,23.13602638,113.5631256,23.56709862,63.90000153,65.41999817,61.20999908,64.68000031,65.30999756,64.09999847,64.05000305,61.52000046,55.27000046,58.54999924,55.29000092,58.36999893,63.38999939,64.23999786,60.45999908,57.63000107,57.54000092,55.29000092,48.79000092,57.91999817,60.59000015,63.33000183,62.36999893,63.84999847
113.5258102,23.13602638,113.4782562,23.1852169,30.04000092,30.75,30.62999916,30.44000053,30.92000008,29.81999969,27.54999924,22.55999947,19.72999954,24.12999916,26.68000031,26.45000076,27.63999939,27.09000015,25.18000031,25.79000092,24.68000031,22.54999924,19.17000008,25.07999992,25.90999985,26.96999931,27.48999977,31.14999962
113.5258102,23.13602638,113.2975082,23.10014343,45.54000092,46.72999954,46.56999969,44.95000076,43.70000076,40.70000076,43.84000015,37.86000061,29.35000038,31.45000076,34.00999832,40.25,42.20999908,39.04000092,35.04999924,33.41999817,32.50999832,26.56999969,26.18000031,36.13000107,37.63999939,36.79000092,38.72000122,43.86999893
