VEHICLE NUMBER     CAPACITY
9   200
Cust No     Longitude     Latitude     Demand     Ready Time     Due Time     Service Time
0    113.52581024169922    23.13602638244629    0.0    8.0    20.0    0.0    
1    113.31367492675781    23.1029052734375    5.0    9.71    10.18    0.05    
2    113.21409606933594    23.15157127380371    8.0    11.16    11.46    0.08    
3    113.24755859375    23.14447784423828    8.0    14.79    15.4    0.08    
4    113.30033874511719    23.24317741394043    14.0    12.42    12.94    0.14    
5    113.52751159667969    22.78968620300293    24.0    14.03    14.27    0.24    
6    113.35099792480469    23.143320083618164    26.0    16.99    17.85    0.26    
7    113.289306640625    23.265029907226562    28.0    16.25    16.68    0.28    
8    113.31015014648438    23.288063049316406    11.0    16.78    17.05    0.11    
9    113.82861328125    23.248109817504883    29.0    12.41    12.76    0.29    
10    113.56312561035156    23.56709861755371    29.0    13.52    14.22    0.29    
11    113.47825622558594    23.185216903686523    17.0    13.21    13.38    0.17    
12    113.2975082397461    23.100143432617188    6.0    13.52    14.28    0.06    
13    113.3455810546875    23.452592849731445    28.0    11.46    11.97    0.28    
14    113.5928726196289    23.535110473632812    29.0    16.28    16.87    0.29    
15    113.2911605834961    23.145668029785156    22.0    15.68    16.66    0.22    
16    113.27819061279297    23.174781799316406    30.0    16.45    17.16    0.3    
17    113.25276184082031    23.38625717163086    18.0    9.93    10.66    0.18    
18    113.28658294677734    23.21554946899414    13.0    8.66    9.56    0.13    
19    113.4439926147461    23.118080139160156    14.0    15.46    16.4    0.14    
20    113.35450744628906    23.136831283569336    25.0    12.89    13.62    0.25    
21    113.39665985107422    23.072290420532227    21.0    14.0    14.26    0.21    
22    113.41049194335938    23.064130783081055    10.0    11.59    12.56    0.1    
23    113.45154571533203    23.37933349609375    20.0    17.84    18.48    0.2    
24    113.34517669677734    23.178213119506836    5.0    11.39    12.37    0.05    
25    113.30587768554688    23.105865478515625    23.0    12.0    12.55    0.23    
26    113.6099853515625    23.217103958129883    29.0    18.04    18.19    0.29    
27    113.22172546386719    23.28618621826172    34.0    16.7    17.59    0.34    
28    113.26175689697266    23.247304916381836    24.0    12.5    12.65    0.24    
29    113.39495849609375    23.204330444335938    24.0    17.03    17.8    0.24    
30    113.3134536743164    22.9090518951416    19.0    12.73    13.01    0.19    
