Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0,40.594,33.976,48.813,27.193,52.62,16.67,32.125,0.081,51.287,36.379,19.387,46.192,45.085,79.708,36.221,51.361,42.086,43.865,40.798,29.01,45.571,45.011,16.649,47.082,59.277,49.005,51.341,40.893,48.056,69.644,34.265,45.503,13.462,59.33,40.002,47.527,40.509,52.95,58.202,22.08
1,38.663,0,19.53,15.959,32.286,30.707,22.773,38.21,38.663,29.374,15.582,22.691,9.492,6.463,45.593,15.424,18.518,9.815,35.521,39.839,23.495,12.975,34.807,22.752,35.628,33.154,16.151,29.428,33.147,18.05,53.434,22.589,12.907,26.69,29.66,7.696,6.962,0.085,31.037,28.47,25.355
2,33.887,14.718,0,18.296,38.361,25.728,19.547,44.285,33.887,24.395,5.404,20.144,15.933,22.62,45.701,5.246,20.855,12.518,47.498,51.816,35.472,15.312,46.784,19.526,47.605,29.709,18.488,24.449,45.124,17.388,42.752,4.218,15.244,21.914,29.762,23.914,21.447,14.614,26.058,28.634,26.256
3,45.576,17.498,16.366,0,41.719,19.595,32.466,47.643,45.576,18.262,13.113,32.384,5.351,20.076,34.481,12.955,4.673,5.443,44.954,49.272,32.928,4.707,44.24,32.445,45.061,20.383,0.908,18.316,42.58,5.267,42.322,15.966,4.707,36.383,18.548,21.37,13.478,17.394,19.925,17.358,34.788
4,25.827,31.915,38.763,41.538,0,56.286,21.384,8.233,25.827,54.953,41.166,20.383,39.214,30.877,71.172,41.008,44.097,40.131,16.328,16.025,14.975,38.554,18.405,21.363,18.778,58.733,41.73,55.007,17.795,43.629,79.013,39.977,38.486,18.61,55.239,25.794,33.319,31.811,56.616,54.049,19.331
5,50.391,32.072,25.203,20.363,56.293,0,42.831,62.217,50.391,3.432,21.788,42.749,23.993,34.65,39.706,21.63,22.922,21.175,59.528,63.846,47.502,22.501,58.814,42.81,59.635,19.885,20.555,3.486,57.154,19.957,25.028,22.041,22.433,44.585,19.819,35.944,33.477,31.968,5.251,19.97,49.362
6,17.527,26.973,20.355,34.092,19.452,43.063,0,25.376,17.527,41.73,22.758,2.534,32.571,32.541,61.648,22.6,36.64,28.465,30.714,35.041,16.466,31.95,30.009,0.021,30.83,45.656,34.284,41.784,28.349,33.335,60.087,21.569,31.882,5.554,45.709,27.458,34.983,26.888,43.393,44.581,8.646
7,32.571,36.566,43.414,46.189,7.576,60.937,26.035,0,32.571,59.604,45.817,25.034,43.865,35.528,75.823,45.659,48.748,44.782,10.8,14.382,11.614,43.205,12.003,26.014,14.074,63.384,46.381,59.658,16.927,48.28,83.664,44.628,43.137,23.261,59.89,30.445,37.97,36.462,61.267,58.7,23.982
8,0.104,40.594,33.976,48.813,27.193,52.62,16.67,32.125,0,51.287,36.379,19.387,46.192,45.085,79.708,36.221,51.361,42.086,43.865,40.798,29.01,45.571,45.011,16.649,47.082,59.277,49.005,51.341,40.893,48.056,69.644,34.265,45.503,13.462,59.33,40.002,47.527,40.509,52.95,58.202,22.08
9,51.151,30.528,23.544,18.819,54.749,3.132,41.287,60.673,51.151,0,20.244,41.205,22.449,33.106,38.162,20.086,21.378,19.631,57.984,62.302,45.958,20.957,57.27,41.266,58.091,19.931,19.011,0.097,55.61,18.413,25.356,22.344,20.889,45.204,22.866,34.4,31.933,30.424,2.958,28.651,47.818
10,34.282,20.166,2.927,15.412,38.756,21.901,19.942,44.68,34.282,20.568,0,20.539,18.704,25.391,42.552,0.072,17.96,10.786,50.018,54.587,38.243,18.083,49.555,19.921,50.376,26.763,15.604,20.622,47.895,14.655,41.167,2.358,18.015,22.309,26.619,26.685,24.218,20.081,22.231,28.545,26.651
11,17.356,26.802,20.184,33.921,20.155,42.892,1.321,26.079,17.356,41.559,22.587,0,32.4,32.958,61.477,22.429,36.469,28.294,31.14,35.458,16.883,31.779,30.426,1.3,31.247,45.485,34.113,41.613,28.766,33.164,59.916,21.398,31.711,5.383,45.538,27.875,35.4,26.717,43.222,44.41,9.953
12,44.726,9.916,16.896,4.868,38.219,23.679,28.836,44.143,44.726,22.346,14.972,28.754,0,11.746,38.565,14.814,5.162,5.645,41.454,45.772,29.428,2.278,40.74,28.815,41.561,25.895,4.848,22.4,39.08,10.791,46.406,19.955,2.278,32.753,22.632,14.487,8.756,9.973,24.009,14.895,31.288
13,43.321,6.379,21.857,18.286,30.155,33.034,24.31,36.079,43.321,31.701,26.105,24.228,11.312,0,47.92,25.947,15.432,16.879,31.416,35.734,21.364,15.302,30.702,24.289,31.523,35.481,18.478,31.755,29.042,20.377,55.761,24.916,15.234,33.328,31.987,5.514,6.402,6.275,33.364,30.797,23.224
14,75.164,46.768,46.183,35.059,70.989,40.575,59.274,76.913,75.164,39.242,42.445,59.192,38.689,49.346,0,42.287,37.618,37.618,74.224,78.542,62.198,37.197,73.51,59.253,74.331,17.788,35.251,39.296,71.85,36.4,19.676,45.783,37.129,63.191,19.251,50.64,48.173,46.664,40.905,21.894,64.058
15,34.182,20.066,2.827,15.312,38.656,21.801,19.842,44.58,34.182,20.468,0.072,20.439,18.604,25.291,42.452,0,17.86,10.686,49.918,54.487,38.143,17.983,49.455,19.821,50.276,26.663,15.504,20.522,47.795,14.555,41.067,2.258,17.915,22.209,26.519,26.585,24.118,19.981,22.131,28.445,26.551
16,49.892,13.202,20.682,5.689,41.647,23.4,32.264,47.571,49.892,22.067,17.429,32.182,4.847,15.032,38.932,17.271,0,8.651,44.882,49.2,32.856,4.559,44.168,32.243,44.989,24.699,5.857,22.121,42.508,9.595,46.127,20.282,4.559,36.181,16.871,17.773,12.042,13.259,23.73,14.688,34.716
17,41.408,9.902,13.636,5.465,39.542,20.6,25.518,45.466,41.408,19.267,10.357,25.436,5.7,17.899,37.891,10.199,8.99,0,42.777,47.095,30.751,4.208,42.063,25.497,42.884,21.899,4.729,19.321,40.403,9.578,43.327,12.457,4.14,29.435,21.952,19.193,15.484,9.817,20.93,20.824,28.006
